Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,"Variedades de yuca para el consumo fresco, industria de balanceados y producción de almidones.",Elvia Amparo Rosero Alpala,Co-ejecutor,AGROSAVIA,CIAT,Co-ejecutores,Escasa oferta varietal de yuca con atributos agronómicos sobresalientes.,Ampliar la oferta de clones de yuca mejorados con atributos para consumo fresco y la transformación industrial de balanceados.,El área de siembra en el año 2009 produjo 208.000.000 de toneladas a nivel mundial de las cuales 1.946.000 toneladas correspondieron a la producción de Colombia.,Planes de Desarrollo Departamentales.,"El programa de Mejoramiento Genético de Yuca de CIAT, (CIAT, 2005).","Rendimiento (t/ha), contenido de materia seca (MS), contneido de Betacaroteno, contenido de acído cianhidrico (HCN), tipo de planta, altura de planta, reacción a plagas y enfermedades, ",I+D+i,"Clones de yuca preseleccionados por alto rendimiento de raíces frescas y alto contenido de materia seca (MS), con nocho productivo en el departamento del Cauca.",Clones de yuca evaluados en Ensayo Avanzado de Rendimiento,NA,NA,Variedad vegetal,6,7,Clones seleccionados para evaluación en Prueba de Evaluación Agronómica.,"Aumento del rendimiento de raíces frescas por unidad de área.
Aumento en el contenido de materia seca.
Innovación en variedad de yuca con alto contenido de B-caroteno.","Reducción de costos de producción por tonelada de raíces.
Aumento de valor agregado.
Acceso a nuevos mercados.
Dinamización de la económia local.","Seguridad alimentaria y nutricional (biofortificación).
Sostenibilidad comunitaria.","Aumento de la biodiversidad del agroecosistema.
Reducción de la carga de pesticidas.
Uso eficiente de la tierra.
",Cauca,Morales,Asociación de productores,80,120,"Suroccidente del país, nicho especifico en el departamento del Cauca.",NA,Sin PI,AGROSAVIA, $  178.000.000 ,2014,2015,Finalizado,Modelamiento genotipo × ambiente,Evaluación multiambiente y multilocal,Mejoramiento en especies perennes y transitorios
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,"Variedades de yuca para el consumo fresco, industria de balanceados y producción de almidones. ",Elvia Amparo Rosero Alpala,Co-ejecutor,AGROSAVIA,"Clayuca
CIAT",Co-ejecutores,"Limitado conocimiento, conservación y aprovechamiento sostenible de la agrobiodiversidad","Ampliar la oferta de clones de yuca mejorados con atributos para consumo fresco,Betacarotenos, y transformación industrial.",Colombia no cuenta con un programa de Investigación para el cultivo de yuca que responda a las necesidades de la industria y el mercado en fresco. ,Planes de Desarrollo Departamentales.,"El programa de Mejoramiento Genético de Yuca de CIAT, (CIAT, 2005).","Rendimiento (t/ha), contenido de materia seca (MS), contenido de Betacaroteno, contenido de acído cianhidrico (HCN), tipo de planta, altura de planta, reacción a plagas y enfermedades, ",I+D+i,Selección del genotipos promisorios de yuca SM1127-8 para consumo fresco para solicitar inscripción y registro como cultivar en el ICA,Clon de yuca SM1127-8 seleccionado en Prueba Regional,NA,NA,Variedad vegetal,6,7,Clon de yuca para consumo fresco seleccionado para posterior registro ante el ICA,Aumento del rendimiento de raíces frescas por unidad de área en clon para consumo en fresco.,Reducción de costos de producción por tonelada de raíces.,Seguridad alimentaria.,"Reducción de la carga de pesticidas.
",Valle del cauca,Palmira,Asociación de productores,NA,NA,"Valle geografico del río Cauca,
Pacifico.",NA,Sin PI,AGROSAVIA, $  85.000.000 ,2015,2015,Finalizado,Modelamiento genotipo × ambiente,Evaluación multiambiente y multilocal,Mejoramiento en especies perennes y transitorios
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,Estrategia quinquenal de vinculación tecnológica de la red de raíces y Tubérculos.,Amaury Aroldo Espitia Montes,Co-ejecutor,AGROSAVIA,"Clayuca
CIAT",Co-ejecutores,"La red de raíces y tubérculos requiere desarrollar herramientas, metodologías y contenidos de transferencia tecnológica para fortalecer cadenas productivas y atender necesidades comunitarias específicas.",Establecer la estrategia de vinculación tecnológica de las cadenas y sistemas productivos de Raíces y Tubérculos.,"La Agenda Quinquenal de Vinculación Tecnológica orienta soluciones a necesidades productivas, facilitando la transferencia de resultados de investigación y desarrollos tecnológicos para fortalecer la competitividad de asistentes técnicos y productores.",Planes de Desarrollo Departamentales.,"El programa de Mejoramiento Genético de Yuca de CIAT, (CIAT, 2005).","Rendimiento (t/ha), contenido de materia seca (MS), contenido de acído cianhidrico (HCN), tipo de planta, altura de planta, reacción a plagas y enfermedades, ",I+D+i,Registro comercial y liberación de las variedades de yuca Corpoica Cumbre 3 y Corpoica Cumbre la Francesa para el suroccidente del pais.,"Dos variedades de yuca mejoradas, inscritas el Registro Nacional de Cultivares del ICA.","Dos nuevas variedades de guayaba con alto rendimiento y calidad nutricional e industrial.

https://repository.agrosavia.co/handle/20.500.12324/11554 ","Variedad de yuca Corpoica Cumbre 3.
Variedad de yuca Corpoica La Francesa.",Variedades vegetales,8,9,Clon de yuca para consumo fresco seleccionado para posterior registro ante el ICA,"Aumento del rendimiento de raíces frescas por unidad de área.
Aumento en el contenido de materia seca.",Reducción de costos de producción por tonelada de raíces.,Seguridad alimentaria.,"Reducción de la carga de pesticidas.
",Cauca,Municipios productores de yuca del departamento del Cauca.,Asociación de productores,900,1400,"Suroccidente del país, nicho especifico en el departamento del Cauca.",NA,Con registro,AGROSAVIA, $  75.000.000 ,2016,2016,Finalizado,Modelamiento genotipo × ambiente,Mejoramiento genético (perennes y transitorios),Registro de cultivares
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,"Variedades mejoradas de yuca para la industria, biofortificación, consumo fresco y/o fines forrajeros adaptadas a regiones agroecológicas relevantes de Colombia.",Elvia Amparo Rosero Alpala,Co-ejecutor,AGROSAVIA,"Clayuca
CIAT",Co-ejecutores,"Aunque la yuca es estratégica en Colombia, persisten brechas de rendimiento sostenible y ecoeficiente, priorizadas por PECTIA en seis departamentos productores clave.","Desarrollar variedades comerciales biofortificadas e industriales de alto rendimiento, materia seca y almidón, adaptadas a regiones colombianas prioritarias.","El cambio climático y la limitada variabilidad genética afectan la yuca en Colombia, requiriéndose nuevas variedades y tecnologías para atender la creciente demanda industrial y de consumo fresco regional.",Planes de Desarrollo Departamentales.,"El programa de Mejoramiento Genético de Yuca de CIAT, (CIAT, 2005).","Rendimiento (t/ha), contenido de materia seca (MS), contenido de acído cianhidrico (HCN), tipo de planta, altura de planta, reacción a plagas y enfermedades, ",I+D+i,Selección de genotipos de yuca aptos para consumo en fresco para evaluaciones posteriores con miras al registrocomercial.,Nueve genotipos de yuca para consumo en fresco preseleccionados para evalauciones agronómicas y posterior registro comercial.,"Manual técnico para la propagación masiva de semilla vegetativa de yuca por miniestacas en campo. https://repository.agrosavia.co/handle/20.500.12324/37003

EVALUACIÓN DEL TIPO DE CONTENEDOR PARA LA ACLIMATACIÓN EN INVERNADERO DE PLÁNTULAS DE YUCA PROPAGADAS IN VITRO. https://riiarn.umsa.bo/index.php/RIIARn/article/view/240/212

Variedades recientes de yuca liberadas en Colombia para uso agroindustrial. https://repository.agrosavia.co/handle/20.500.12324/38128

Manual de manejo de yuca para consumo fresco en diferentes regiones de Colombia. https://editorial.agrosavia.co/index.php/publicaciones/catalog/book/401 
",Clones de yuca preseleccionados para futuro registro comercial de variedades mejoradas.,Variedades vegetales,4,6,Clones de yuca para consumo fresco seleccionado para posterior registro ante el ICA para subregión Pacifico y Valle geografico del río cauca,"Aumento del rendimiento de raíces frescas por unidad de área.
Aumento en el contenido de materia seca.",Reducción de costos de producción por tonelada de raíces.,Seguridad alimentaria.,"Reducción de la carga de pesticidas.
",Valle del cauca,Municipios productores de yuca del departamento.,Asociación de productores,300,500,"Valle geografico del río Cauca,
Pacifico.",NA,En trámite,AGROSAVIA, $  190.000.000 ,2019,2023,Finalizado,Modelamiento genotipo × ambiente,Evaluación multiambiente y multilocal,Mejoramiento en especies perennes y transitorios
Bioeconomía: Prácticas de agricultura sostenible,Batata,Material de siembra y mejoramiento genético,Generación de nuevas variedades de batata (Ipomoea batatas L.) y estrategias eficientes de multiplicación vegetativa para el Caribe Colombiano,Elvia Amparo Rosero Alpala,Apoyo,AGROSAVIA,"Clayuca
CIAT
HARVESTPLUS",Co-ejecutores,"La batata colombiana requiere genotipos competitivos y semilla limpia para mejorar rendimientos, diversificar mercados y reducir pérdidas sanitarias por virus.",Obtener nuevas variedades de pulpa blanca con raíces uniformes para consumo fresco y/o uso industrial.,"El C.I. Palmira cuenta con las condiciones agroambientales óptimas para la generación de poblaciones recombinantes de batata mediante policruzamientos y cruzamientos dirigidos, para aumentar la base genética para mejoramiento genético de esta especie.",Planes de Desarrollo Departamentales.,Modelo productivo de batata para la costa Caribe colombiana. https://editorial.agrosavia.co/index.php/publicaciones/catalog/book/473,"Número de flores por metro cuadrado, porcentaje de cuajamiento de flor a fruto, número de semillas por metro cuadrado, rendimiento de tuberculos.",I+D+i,Obtención de semilla recombinante de batata y preselcción del genotipo 1115200BOL por alto rendimiento bajo condiciones del Valle del Cauca,"Un genotipo de batata preseleccionado por alto rendimiento y de pulpa amarilla para el Valle del Cauca.
Semilla con recombinación genética por policruzas para evaluaciones en Caribe. ","Evaluación agronómica de germoplasma promisorio de batata (Ipomoea batatas) en el departamento del Valle del Cauca, Colombia. https://biotecnia.unison.mx/index.php/biotecnia/article/view/1666",Un clon de batata adaptado a condiciones del Valle del Cauca para producción comercial.,Variedad vegetal,6,7,En investigación,"Aumento del rendimiento de raíces tuberosas frescas por unidad de área.
Aumento en el contenido de Betacaroteno.",Reducción de costos de producción.,Seguridad alimentaria.,"Reducción de la carga de pesticidas.
",Valle del cauca,Palmira.,,,,"Valle geografico del río Cauca,
Pacifico.",NA,Sin PI,AGROSAVIA, $  25.000.000 ,2019,2021,Finalizado,Modelamiento genotipo × ambiente,Evaluación multiambiente y multilocal,Mejoramiento en especies perennes y transitorios
NSA(MPIyS): Sistemas alimentarios regenerativos,Otro,Manejo de sistemas productivos,Ruta Agroecológica_Valle del Cauca. RA: Diana Lucia Correa Moreno,,,,Fedecoco,,,,,,,,,,,,,,,,,,,,,Valle,"Tumaco, el Charco, Francisco Pizarro, La Tola, Mosquera, Santa Bárbara de Iscuande y Olaya Herrera",Asociación de productores,300,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas alimentarios regenerativos,Otro,Manejo de sistemas productivos,Mujer rural:conservación de semillas. Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,Valle,,Asociación de productores,,,,,,Sector privado,,,,,,,
NSA(MPIyS): Restauración de los ecosistemas,Otro,Manejo ambiental y sostenibilidad,"Restauración participativa de ecosistemas y fortalecimiento de la gobernanza ambiental y resiliencia climática en territorios afrocolombianos de la Cuenca del Rio San Jorge (Alto Patia - Cauca) afectados por deforestación, desertificación y sequía. Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,Cauca,,Comunidad Afrocolombiana,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Otro,Manejo ambiental y sostenibilidad,Fortalecimiento de las capacidades de I+D+i del centro de investigación Palmira,,,,,,,,,,,,,,,,,,,,,,,,,Valle,,Comunidad Afrocolombiana,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Manejo sanitario y fitosanitario,"Estrategias de  manejo integrado de enfermedades de Aguacate (Fase1,2)",Mauricio Martinez,Líder,Agrosavia,"1. Viveristas y comercializadores de aguacate, 2. Productores de aguacate, 3. ICA","1 y 2, Beneficiarios. 3. Gobierno",Limitada disponibilidad de conocimiento y tecnologías para la caracterización y manejo de las principales enfermedades presentes en los diferentes núcleos productivos de aguacate en Colombia.,Identificar las principales enfermedades en viveros de aguacate y desarrollar estrategias de manejo para patógenos que afectan la calidad del material de siembra y la productividad del cultivo.,"Las enfermedades radicales son una de las principales limitantes del cultivo de aguacate, afectando la producción de material de siembra, el establecimiento y la productividad en campo. La escasa información fitosanitaria y los bajos rendimientos en Colombia evidencian la necesidad de desarrollar tecnologías que fortalezcan el manejo integrado de los problemas fitosanitarios y mejoren la competitividad y sostenibilidad del cultivo.",NA,1. Identificación y caracterización de microorganismos asociados a enfermedades en plantas de aguacate de vivero . 2.Evaluación bajo condiciones de campo estrategias de manejo de la pudrición de raíces por Phytophthora cinnamomi en aguacate cv. ‘Hass’.  ,"
1. Variables bióticas: Signos y síntomas. Identificación de patógenos. Pruebas de patogencidad. 2. Recuperación de la planta (Gabor & Coffey , 1991). 3. Evaluación de flujos fenológicos. 4. Determinación de contenido de clorofila. 5. Producción (kg fruta/árbol).
",Investigación,"Identificación de microorganismos asociados a la pudrición de raices, en plántulas de aguacate procedentes de viveros. Manejo integrado de la pudrición de raíces del aguacate mediante el uso de fungicidas, inductores de resistencia, minerales, materia orgánica y acolchados vegetales.","1. Tesis de maestría en Ciencias Agrarias ""Caracterización de microorganismos asociados a la pudrición de raíces de Aguacate Persea americana Mill en viveros del Valle del Cauca, Colombia"". 2. Generación de nuevo conocimiento (Artículos científicos).  3. Recomendaciones de manejo de la pudrición de raíces por Phytophthora cinnamomi en aguacate cv. ‘Hass’. ","Palacios, L. P. (2021). Caracterización de microorganismos asociados a la pudrición de raíces de Aguacate Persea americana Mill en viveros del Valle del Cauca, Colombia. https://repositorio.unal.edu.co/handle/unal/80343 Palacios-Joya, L. P., Rodríguez-Arévalo, K. A., Martínez, M. F., Murcia-Riaño, N., & Rodríguez-Mora, D. M. (2025). Phytophthora species
causing root rot in avocado seedlings at Colombian nurseries: Morphological, molecular, and pathogenic analysis. Scientia Agropecuaria,
16(1), 113-121. ",NA,Resultado de investigación ,1,5,Investigación,Generación de conocimiento sobre  microorganismos asociados a la pudrición de raices en plántulas de aguacate en fase  de vivero.Recuperación de unidades productivas de aguacate y desempeño productivo positivo con registros de cosecha aceptables.,"El manejo de la pudrición de raíces  (Phytophthora cinnamomi) redujo la enfermedad y las pérdidas de producción en aguacate ‘Hass’ en un 53.9%, mejorando el desarrollo y la productividad del cultivo.","Fortalecimiento de las capacidades de viveristas y productores de aguacate en el reconocimiento, diagnóstico y manejo de enfermedades radiculares de aguacate en fase de vivero y campo.","La estrategia de manejo la pudrición de raíces reduce el uso de fungicidas mediante aplicaciones dirigidas y fortalece las defensas naturales de las plantas de aguacate. Además, la incorporación de calcio, silicio, materia orgánica y acolchado vegetal mejora la salud del suelo, favorece los microorganismos benéficos, reduce la erosión y contribuye a una producción de aguacate más sostenible.","Cauca, Quindío, Risaralda, Valle del Cauca","Cauca (Timbío), Quindío (Calarcá, La Tebaida, Quimbaya), Risaralda (Cerritos, Pereira), Valle del Cauca (Andalucía, Bolívar, Caicedonia, Candelaria, Cerrito, La Unión, La Victoria, Palmira, Sevilla)","Viveristas y productores de aguacate,",Viveristas y productores de aguacate,"Universidades, Comunidad científica",Zonas productoras de aguacate a nivel nacional ,NA,No aplica,Entes Nacionales y Territoriales,176707975,2018,2020,Finalizado,NA,Diagnóstico y caracterización de patógenos,Desarrollo de programas de MIE 
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo sanitario y fitosanitario,Opciones de manejo para reducir los principales problemas del cultivo de la Pitaya en el Valle del Cauca,Alberto Rojas,Ejecutor,Agrosavia,1. Asociación de productores de pitaya Assopitaya 2.Empresa  Ingenieros Agrónomos Asociados,1. Beneficiarios,"Problemas fitosanitarios que afectan la calidad de la fruta, disminuyendo productividad y rentabilidad del cultivo y afectando la calidad para mercado de exportación","Evaluar diferentes opciones para un control más eficiente de la pudrición basal del fruto (Fusarium spp) y la pudrición suave del tallo (Erwinia spp) en
cultivos de pitaya en el Valle del cauca.","Las enfermedades que afectan el cultivo de la pitaya, inciden en la calidad y el rendimiento. La produccion de fruta exportable por unidad de superficie ha disminuido por el incremento en estas pudriciones y el manejo exclusivamente con productos quimicos siendo necesario integrar otras medidas de manejo.",NA,1. identificación y caracterización de microorganismos asociados  las enfermedades pudrición basal del fruto y pudrición suave del tallo en cultivos de pitaya en el valle del Cauca . 2.Evaluación bajo condiciones de laboratorio .3. Evaluacion en campo  de estrategias de manejo de la pudrición basal del fruto y pudrición suave del tallo,1. variables bióticas. Signos y Síntomas. Pruebas de Patogenicidad. Incidencia y Severidad de enfermedades.,Investigación,"Identificación de microorganismos asociados a la pudrición basal del fruto y pudricion suave del tallo en plantas de pitaya. Manejo integrado de la pudrición basal del fruto y pudrición suave del tallo, mediante el uso de productos biologicosproductos no convencionales, prácticas culturales, funguicidas.",Libro de investigación: Tecnología Para El Manejo De Pitaya Amarilla Selenicereus Megalanthus (K. Schum. Ex Vaupel) Moran En Colombia,"Kondo, Takumasa; Martínez, Mauricio; Medina, Jorge Alberto; Rebolledo Roa, Alexander; Cardozo Burgo, Carolina.(2013).Tecnología Para El Manejo De Pitaya Amarilla Selenicereus Megalanthus (K. Schum. Ex Vaupel) Moran En Colombia.https://repository.agrosavia.co/handle/20.500.12324/34308",NA,Resultado de investigación ,1,3,Investigación,Generacion de conocimienro sobre microorganismos asociados a la pudricion basal del fruto en campo.,Disminuir costos de producción para el control de las enfermedades que representa el 50%de total de los costos.,"Fortalecimiento de las capacidades de productores de pitaya en el reconocimiento, y manejo de la pudricion basal del fruto y pudricion suave del talle en el cultivo de pitaya en campo.","El uso de compuestos naturales para el manejo de la pudrición basal en fruto,representan una alternativa de menor impacto a la salud y al ambiental y contribuyen con el fortalecimiento de estrategias de manejo de las enfermedades de manera sostenible",Valle del Cauca,Municipios de Palmira-Darien-Riofrio-Vijes,Asociación de productores de pitaya,Productores de Pitaya,"Universidades, Comunidad científica",Zonas productoras de Pitaya a nivel nacional,NA,Sin PI,Entes Nacionales y Territoriales,,2008,2010,Finalizado,,Diagnóstico y caracterización de patógenos,Trabajo articulado con productores
Bioeconomía: Prácticas de agricultura sostenible,Cacao,Manejo de sistemas productivos,"Idea: Proyecto 95883. IMPLEMENTACIÓN DE INNOVACIONES TECNOLÓGICAS BAJO UN MODELO DE ECONOMÍA CIRCULAR, SOCIAL Y SOLIDARIA COMO APORTE A LA SEGURIDAD ALIMENTARIA Y A LA TRANSICIÓN SOSTENIBLE HACIA UN DESARROLLO AGRÍCOLA Y AGROINDUSTRIAL EN 4 MUNICIPIOS DEL DEPARTAMENTO DEL VALLE DEL CAUCA","Jader Rodríguez Cortina, Margareth Santander, Johanna Serna ",,,Asoppitaya: Asociación de productores de pitaya- Ingenieros Agrónomos Asociados,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,Municipios de Palmira-Darien-Riofrio,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
Mejoramiento genético de banano frente a Foc R4T,Banano,Mejoramiento genético,F5 SELECCION CULTIVARES BANANO RESISTENTES FOC R4T ID 1002489. ,Rommel Leon,Ejecutor,AGROSAVIA,EMBRAPA-AUGURA-AGROSAVIA,Coejecutor,Banano-Fitosanitario frente a FOC R4T,Cruzamientos de materiales resistententes con Cavendish comerciales y generación de hibridos para la evaluación.,FOC R4T es de las principales limitantes del cultivo de musáceas.,,"Cruzamientos con materiales diploides resistentes como padres y cultivares Cavendish comerciales susceptibles, como madres. Obtener semilla de estos cruzamientos. ",Cruzamientos entre materiales,Investigación,Se cuanta con hibridos de padres Cavendish y madres diploides. Se destaca individuos elite cavendih para ser usados como progenitores masculinos.,,,,,,,,,,,,Valle del Cauca,Palmira,Sector bananero,,,,,,,,,Novimbre 2026,En ejecución,,Mejoramiento genético (perennes y transitorios),
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Manejo sanitario y fitosanitario,"Desarrollo y validación de tecnologías para incrementar la productividad del cultivo de aguacate Hass en el departamento del Cauca. Producto 4. Identificación y  evaluación de métodos
 de manejo de enfermedades de fruto que afectan la calidad comercial del Aguacate Hass para exportación.",Alejandro Jaramillo Laverde,Ejecutor,Agrosavia,"1. Gobernacion del Cauca, 2. Asociaciones de productores","1. financiador
2.  Beneficiarios","Incremento de las enfermedades en fruta de Aguacate Hass, afectando la calidad,rechazo de la fruta en maquila  y perdidas de los volúmenes destinados a la exportación.",Identificar y evaluar métodos de manejo de enfermedades de fruto que afectan la calidad comercial del aguacate Hass para exportación.,"Se identificó la necesidad de generar recomendaciones de manejo de enfermedades del fruto para el departamento del Cauca,debido a que no se encuentra cuantificado el daño, se está extendiendo la presencia de manchas pardas a nivel de la epidermis y problemas asociados con la pudrición del pedúnculo en fruto en las zonas productoras de aguacate Hass ","Plan Departamental de Desarrollo “Cauca, Territorio de Paz”, dentro del componente de Innovación, que integra el eje estratégico CAUCA, GENERADOR DE CONDICIONES PARA LA RIQUEZA COLECTIVA, ",1. Realizar seguimiento a las principales enfermedades  del fruto que afectan el cultivo de aguacate Hass 2. Desarrollar y validar planes de manejo para el control de enfermedades que afectan la calidad comercial del fruto.3. Definir un plan de manejo de enfermedades del fruto,"1. Variables bióticas: Signos y síntomas de enfermedades en fruto. Identificación de patógenos . Incidencia y severidad de enfermedades. Área bajo la curva del progreso de la enfermedad (ABCPE). 
2. Variables abióticas: clima.
3. Rendimiento (t/ha).",Investigación,"1. Incidencia de enfermedades del fruto de aguacate Hass en 9 municipios del Cauca.Protocolos estandarizados para identificación morfológica de hongos asociados a pudrición del pedúnculo y pudriciones internas de aguacate Hass.3.Identificación de los géneros Colletotrichum, Pseudocercospora,Neofusicocum, Lasiodiplodia,Diaporthe, Neopestaloptiosis y Pestaloptiosis mediante técnicas morfológicas, moleculares y pruebas de patogenicidad",1. Manual. 2. Cartilla. 3. Articulo. 4. Contenidos Audiovisuales. ,"1. Manual .(2023). Reconocimiento de las principales limitantes fitosanitarias que afectan la calidad comercial del aguacate Hass. Corporación Colombiana de Investigación Agropecuaria-agrosavia. 2. (2023). Identificación y manejo de enfermedades que afectan la calidad comercial del fruto de aguacate (Persea americana Mill.) cv. Hass. Corporación Colombiana de Investigación. 3.Articulo científico: Molecular Identification and Fungal Diversity Associated with Diseases in Hass Avocado Fruit Grown in Cauca, Colombia. Pathogens 2023, 12, 1418. https://doi.org/10.3390/pathogens12121418.
Agropecuaria-Agrosavia.",NA,Resultado de investigación ,1,5,Investigacion,1. Identificación de patógenos asociados a pudrición del pedúnculo y daños en lenticelas.2. Planes de manejo para dismunir incidencia y mejorar sanidad y calidad comerciald el aguacate Hass.,"Disminución de la incidencia de pudrición del pedúnculo en 93;5% y de enfermedad asociada a las lenticelas en 31,8% en campo, permitiendo obtener frutos de mejor calidad para la exportación y para el mercado interno.",Fortalecimiento de capacidades de los productores de aguacate Hass en reconocimiento en campo y manejo de enfermedades del fruto en las zonas productoras de aguacate Hass. ,"Implementación del uso de productos para control de enfermedades del fruto, generar protección de los frutos al final del ciclo productivo sin causar residualidad en la fruta cosechada.",Cauca,"Piendamó, Timbío, Cajibío, Caloto,Corinto, Morales, Caldono, Sotará, El tambo,Popayan,Toribio",14 Asociaciones de pequeños productores de Aguacate Hass del Cauca,Productores de aguacate Hass del departamento del Cauca,"Asistentes tecnicos, estudiantes y docentes univeristarios",Zonas productoras de Aguacate Hass a Nivel Nacional,NA,Investigación,Entes Nacionales y Territoriales,989095473,43497,44924,Finalizado,,Diagnóstico y caracterización de patógenos,Trabajo articulado con productores.
Bioeconomía:  Biodiversidad,Aguacate Hass,Material de siembra y mejoramiento genético,"Bases tecnológicas para la producción de material de siembra de aguacate de alta calidad Fase 1, 2 y 3",Mauricio Martínez,Ejecutor,Agrosavia,ICA,Gobierno,"Baja disponibilidad de opciones tecnológicas que garanticen la  producción de material de siembra de aguacate con calidad genética, fisiológica y fitosanitaria.","1. Generar recomendaciones tecnológicas para la producción de material de siembra de aguacate en fase de viveros, con trazabilidad genética, fisiológica y sanitaria.
2. Evaluar los recursos genéticos de aguacate con potencial de uso como porta-injerto frente a Phytophthora cinnamomi Rands, en condiciones controladas. 3, Estandarizar métodos de propagación, incluyendo la tecnología de doble injertación.",La limitada información sobre los portainjertos de aguacate y la falta de recomendaciones técnicas para su propagación y manejo en vivero hacen necesario desarrollar y validar tecnologías que mejoren la producción de plantas y fortalezcan los sistemas de aseguramiento de la calidad.,NA,". 3. Multiplicación de plantas clonales Frolich y Platt (1972), vivero Brokaw (1982). ","3. Porcentaje de prendimiento, altura de la planta, altura del injerto, diámetro del injerto, diámetro del portainjerto, área foliar, materia seca de tallo, hoja y raíces.",I+D+i,"1, Colección de cepas de Phythophthora cinnamomi, caracterizada morfo-molecularmente y a nivel patogénico, 2, Evaluación patogénica de accesiones de aguacate de raza antillana frente a P. cinnamomi.. 2, Protocolo de multiplicación de plantas a través de tecnología de doble injertación. 3. Recomendaciones de manejo de semillas, uso de sustrato,  y riego para la produccion de material de siembra de aguacate.",Artículos. Protocolo de propagación clonal de aguacate.,"López-Galé, Y. D.; Martínez, M. F.; Ríos Rojas, L. and García-Dávila, M. A. (2025). Avocado genotypes resistant to Phytophthora cinnamomi in Colombia.  Scientia Agricola, vol. 82, p. e20240117, 2025, https://doi.org/10.1590/1678-992X-2024-0117.  López-Galé, Y. D.; Fernando, M. M.; Palacios, J. L. P.; Murcia-Riaño, N., y García-Dávila, M. A. (2024). Uniformidad en el desarrollo de brotes en injertos de aguacate y su importancia para establecer niveles de resistencia indirecta a Phytophthora cinnamomi. Revista Mexicana de Fitopatología 42(3): 31. https://doi.org/10.18781/R. MEX.FIT.2311-1","Recomendaciones de manejo de semillas, sustrato y riego para la producción de material de siembra de aguacate en vivero.",Recomendaciones tecnológicas,TRL1,6,Investigación,"Generación de conocimiento sobre recomendaciones técnicas para la producción de plantas de aguacate en vivero.tasa de germinación con valores superiores al 90 %. Se logra una reducción del tiempo de emergencia de las semillas en un 29%, lo que se traduce en una disminución de costos de producción. Los porcentajes de descarte de las semillas por varía entre el 1 y 2 % por tallos múltiples y entre el 1 y 5 % por raíces múltiples.  ","El uso de material de siembra de calidad reduce costos de producción, disminuye pérdidas por enfermedades, mejora la productividad de los huertos y aumenta la rentabilidad del cultivo de aguacate","Fortalecimiento de las capacidades de viveristas de aguacate en la producción de material de siembra de aguacate con calidad genética, fisiológica y fitosanitaria.","La producción de material de siembra de aguacate con alta calidad contribuye a la sostenibilidad ambiental al reducir la dispersión de enfermedades, disminuir el uso de agroquímicos y mejorar la eficiencia en el aprovechamiento de agua y nutrientes, favoreciendo sistemas productivos más resilientes y responsables con los recursos naturales.","Valle de cauca, Antioquia, Cauca, Quindío, Risaralda, Caldas, Tolima y Huila",Palmira,Viveristas de aguacate,Viveristas de aguacate,"Universidades, Comunidad científica",Zonas productoras de aguacate a nivel nacional ,NA,NA,Entes Nacionales y Territoriales,262058862,2022,2025,Finalizado,Producción clonal sistemática,Producción y escalamiento de semilla,Producción de material vegetal de alta calidad
